index,proba_exoplaneta,pred_binaria,pred_etiqueta,is_exoplanet,asymmetry_index_x,v_u_kurtosis_x,egress_slope_x,asymmetry_index_y,v_u_kurtosis_y,egress_slope_y,asymmetry_index,v_u_kurtosis,egress_slope,koi_period,koi_duration,koi_depth,koi_srad
80,0.12333333333333334,0,no exoplaneta,False,0.2080095234979801,3.4607168359973537,0.0004012926659739,0.2080095234979801,3.4607168359973537,0.0004012926659739,0.2080095234979801,3.4607168359973537,0.0004012926659739,386.6030528,6.8057,24927.0,1.58
81,1.0,1,exoplaneta,True,0.1053370774400214,1.4470741388276742,-0.0004733104676304,0.1053370774400214,1.4470741388276742,-0.0004733104676304,0.1053370774400214,1.4470741388276742,-0.0004733104676304,21.67699193,3.4555,857.2,0.828
82,1.0,1,exoplaneta,True,0.1053370774400214,1.4470741388276742,-0.0004733104676304,0.1053370774400214,1.4470741388276742,-0.0004733104676304,0.1053370774400214,1.4470741388276742,-0.0004733104676304,21.67699193,3.4555,857.2,0.828
83,1.0,1,exoplaneta,True,0.1053370774400214,1.4470741388276742,-0.0004733104676304,0.1053370774400214,1.4470741388276742,-0.0004733104676304,0.1053370774400214,1.4470741388276742,-0.0004733104676304,21.67699193,3.4555,857.2,0.828
84,0.9766666666666667,1,exoplaneta,True,0.3278382901957619,2.672650511222737,-0.0073807027303311,0.3278382901957619,2.672650511222737,-0.0073807027303311,0.3278382901957619,2.672650511222737,-0.0073807027303311,4.99677968,2.1717,934.7,0.847
85,0.9766666666666667,1,exoplaneta,True,0.3278382901957619,2.672650511222737,-0.0073807027303311,0.3278382901957619,2.672650511222737,-0.0073807027303311,0.3278382901957619,2.672650511222737,-0.0073807027303311,4.99677968,2.1717,934.7,0.847
86,0.9766666666666667,1,exoplaneta,True,0.3278382901957619,2.672650511222737,-0.0073807027303311,0.3278382901957619,2.672650511222737,-0.0073807027303311,0.3278382901957619,2.672650511222737,-0.0073807027303311,4.99677968,2.1717,934.7,0.847
87,0.99,1,exoplaneta,True,0.2623093544428866,4.476648824038832,0.0094370358882645,0.2623093544428866,4.476648824038832,0.0094370358882645,0.2623093544428866,4.476648824038832,0.0094370358882645,4.280963604,2.875,750.8,0.831
88,0.99,1,exoplaneta,True,0.2623093544428866,4.476648824038832,0.0094370358882645,0.2623093544428866,4.476648824038832,0.0094370358882645,0.2623093544428866,4.476648824038832,0.0094370358882645,4.280963604,2.875,750.8,0.831
89,0.99,1,exoplaneta,True,0.2623093544428866,4.476648824038832,0.0094370358882645,0.2623093544428866,4.476648824038832,0.0094370358882645,0.2623093544428866,4.476648824038832,0.0094370358882645,4.280963604,2.875,750.8,0.831
90,0.0,0,no exoplaneta,False,0.1606166084420378,2.9393962181756,0.0199121519048175,0.1606166084420378,2.9393962181756,0.0199121519048175,0.1606166084420378,2.9393962181756,0.0199121519048175,1.50635409,1.5155,2211.7,0.831
91,0.0,0,no exoplaneta,False,0.1606166084420378,2.9393962181756,0.0199121519048175,0.1606166084420378,2.9393962181756,0.0199121519048175,0.1606166084420378,2.9393962181756,0.0199121519048175,1.50635409,1.5155,2211.7,0.831
92,0.0,0,no exoplaneta,False,0.1606166084420378,2.9393962181756,0.0199121519048175,0.1606166084420378,2.9393962181756,0.0199121519048175,0.1606166084420378,2.9393962181756,0.0199121519048175,1.50635409,1.5155,2211.7,0.831
93,0.01,0,no exoplaneta,False,0.3720748605371208,2.447708974639086,-0.0007672000696111,0.3720748605371208,2.447708974639086,-0.0007672000696111,0.3720748605371208,2.447708974639086,-0.0007672000696111,670.645531,53.412,18091.0,0.983
94,0.01,0,no exoplaneta,False,0.3720748605371208,2.447708974639086,-0.0007672000696111,0.3720748605371208,2.447708974639086,-0.0007672000696111,0.3720748605371208,2.447708974639086,-0.0007672000696111,670.645531,53.412,18091.0,0.983
95,0.01,0,no exoplaneta,False,0.3720748605371208,2.447708974639086,-0.0007672000696111,0.3720748605371208,2.447708974639086,-0.0007672000696111,0.3720748605371208,2.447708974639086,-0.0007672000696111,670.645531,53.412,18091.0,0.983
96,0.08333333333333333,0,no exoplaneta,False,0.2319312143007673,2.791563115510824,-0.0022899061065529,0.2319312143007673,2.791563115510824,-0.0022899061065529,0.2319312143007673,2.791563115510824,-0.0022899061065529,61.2563628,7.633,5123.3,1.091
97,0.08333333333333333,0,no exoplaneta,False,0.2319312143007673,2.791563115510824,-0.0022899061065529,0.2319312143007673,2.791563115510824,-0.0022899061065529,0.2319312143007673,2.791563115510824,-0.0022899061065529,61.2563628,7.633,5123.3,1.091
98,0.08333333333333333,0,no exoplaneta,False,0.2319312143007673,2.791563115510824,-0.0022899061065529,0.2319312143007673,2.791563115510824,-0.0022899061065529,0.2319312143007673,2.791563115510824,-0.0022899061065529,61.2563628,7.633,5123.3,1.091
99,0.9966666666666667,1,exoplaneta,True,0.4517453915084597,2.33928754192726,0.0034208833112274,0.4517453915084597,2.33928754192726,0.0034208833112274,0.4517453915084597,2.33928754192726,0.0034208833112274,38.3775486,5.588,724.2,1.036
100,0.9966666666666667,1,exoplaneta,True,0.4517453915084597,2.33928754192726,0.0034208833112274,0.4517453915084597,2.33928754192726,0.0034208833112274,0.4517453915084597,2.33928754192726,0.0034208833112274,38.3775486,5.588,724.2,1.036
101,0.9966666666666667,1,exoplaneta,True,0.4517453915084597,2.33928754192726,0.0034208833112274,0.4517453915084597,2.33928754192726,0.0034208833112274,0.4517453915084597,2.33928754192726,0.0034208833112274,38.3775486,5.588,724.2,1.036
102,0.98,1,exoplaneta,True,0.0135390331534839,2.1564834789193954,0.0066231231920655,0.0135390331534839,2.1564834789193954,0.0066231231920655,0.0135390331534839,2.1564834789193954,0.0066231231920655,16.01308419,3.2554,1121.9,0.826
103,0.98,1,exoplaneta,True,0.0135390331534839,2.1564834789193954,0.0066231231920655,0.0135390331534839,2.1564834789193954,0.0066231231920655,0.0135390331534839,2.1564834789193954,0.0066231231920655,16.01308419,3.2554,1121.9,0.826
104,0.98,1,exoplaneta,True,0.0135390331534839,2.1564834789193954,0.0066231231920655,0.0135390331534839,2.1564834789193954,0.0066231231920655,0.0135390331534839,2.1564834789193954,0.0066231231920655,16.01308419,3.2554,1121.9,0.826
105,1.0,1,exoplaneta,True,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,32.62876672,4.7971,1804.8,0.798
106,1.0,1,exoplaneta,True,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,32.62876672,4.7971,1804.8,0.798
107,1.0,1,exoplaneta,True,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,32.62876672,4.7971,1804.8,0.798
108,1.0,1,exoplaneta,True,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,32.62876672,4.7971,1804.8,0.798
109,1.0,1,exoplaneta,True,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,32.62876672,4.7971,1804.8,0.798
110,1.0,1,exoplaneta,True,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,0.3809945137298161,1.7072632226763615,0.0073065672842413,32.62876672,4.7971,1804.8,0.798
111,0.9133333333333333,1,exoplaneta,True,0.1498237063178449,4.7383977264896,0.011278011796674,0.1498237063178449,4.7383977264896,0.011278011796674,0.1498237063178449,4.7383977264896,0.011278011796674,4.959319244,2.22739,9802.0,1.082
112,0.9133333333333333,1,exoplaneta,True,0.1498237063178449,4.7383977264896,0.011278011796674,0.1498237063178449,4.7383977264896,0.011278011796674,0.1498237063178449,4.7383977264896,0.011278011796674,4.959319244,2.22739,9802.0,1.082
113,0.9133333333333333,1,exoplaneta,True,0.1498237063178449,4.7383977264896,0.011278011796674,0.1498237063178449,4.7383977264896,0.011278011796674,0.1498237063178449,4.7383977264896,0.011278011796674,4.959319244,2.22739,9802.0,1.082
114,0.016666666666666666,0,no exoplaneta,False,0.2701118159824222,2.949309553198359,0.0104107289335023,0.2701118159824222,2.949309553198359,0.0104107289335023,0.2701118159824222,2.949309553198359,0.0104107289335023,2.701287801,3.3827,860.4,0.91
115,0.016666666666666666,0,no exoplaneta,False,0.2701118159824222,2.949309553198359,0.0104107289335023,0.2701118159824222,2.949309553198359,0.0104107289335023,0.2701118159824222,2.949309553198359,0.0104107289335023,2.701287801,3.3827,860.4,0.91
116,0.016666666666666666,0,no exoplaneta,False,0.2701118159824222,2.949309553198359,0.0104107289335023,0.2701118159824222,2.949309553198359,0.0104107289335023,0.2701118159824222,2.949309553198359,0.0104107289335023,2.701287801,3.3827,860.4,0.91
117,0.9933333333333333,1,exoplaneta,True,0.2951211509422918,3.250421602933415,0.0065412499198911,0.2951211509422918,3.250421602933415,0.0065412499198911,0.2951211509422918,3.250421602933415,0.0065412499198911,4.49876511,3.7362,460.0,0.969
118,0.9933333333333333,1,exoplaneta,True,0.2951211509422918,3.250421602933415,0.0065412499198911,0.2951211509422918,3.250421602933415,0.0065412499198911,0.2951211509422918,3.250421602933415,0.0065412499198911,4.49876511,3.7362,460.0,0.969
119,0.9933333333333333,1,exoplaneta,True,0.2951211509422918,3.250421602933415,0.0065412499198911,0.2951211509422918,3.250421602933415,0.0065412499198911,0.2951211509422918,3.250421602933415,0.0065412499198911,4.49876511,3.7362,460.0,0.969
120,0.013333333333333334,0,no exoplaneta,False,0.6203984933688685,3.457550992939079,-0.0021092876645513,0.6203984933688685,3.457550992939079,-0.0021092876645513,0.6203984933688685,3.457550992939079,-0.0021092876645513,19.651209505,5.2514,11766.0,1.063
121,0.013333333333333334,0,no exoplaneta,False,0.6203984933688685,3.457550992939079,-0.0021092876645513,0.6203984933688685,3.457550992939079,-0.0021092876645513,0.6203984933688685,3.457550992939079,-0.0021092876645513,19.651209505,5.2514,11766.0,1.063
122,0.013333333333333334,0,no exoplaneta,False,0.6203984933688685,3.457550992939079,-0.0021092876645513,0.6203984933688685,3.457550992939079,-0.0021092876645513,0.6203984933688685,3.457550992939079,-0.0021092876645513,19.651209505,5.2514,11766.0,1.063
123,1.0,1,exoplaneta,True,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,5.412203927,2.9472,601.6,1.087
124,1.0,1,exoplaneta,True,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,5.412203927,2.9472,601.6,1.087
125,1.0,1,exoplaneta,True,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,5.412203927,2.9472,601.6,1.087
126,1.0,1,exoplaneta,True,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,5.412203927,2.9472,601.6,1.087
127,1.0,1,exoplaneta,True,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,5.412203927,2.9472,601.6,1.087
128,1.0,1,exoplaneta,True,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,0.1536063055771661,2.3269615052093235,0.00860729331866,5.412203927,2.9472,601.6,1.087
129,0.9866666666666667,1,exoplaneta,True,0.1878310004632138,3.324240524974618,0.0041333892920016,0.1878310004632138,3.324240524974618,0.0041333892920016,0.1878310004632138,3.324240524974618,0.0041333892920016,41.43958662,10.5989,2793.1,1.046
130,0.9866666666666667,1,exoplaneta,True,0.1878310004632138,3.324240524974618,0.0041333892920016,0.1878310004632138,3.324240524974618,0.0041333892920016,0.1878310004632138,3.324240524974618,0.0041333892920016,41.43958662,10.5989,2793.1,1.046
131,0.9866666666666667,1,exoplaneta,True,0.1878310004632138,3.324240524974618,0.0041333892920016,0.1878310004632138,3.324240524974618,0.0041333892920016,0.1878310004632138,3.324240524974618,0.0041333892920016,41.43958662,10.5989,2793.1,1.046
132,0.9966666666666667,1,exoplaneta,True,0.1822776415603657,2.2660951740555566,0.0066717222486308,0.1822776415603657,2.2660951740555566,0.0066717222486308,0.1822776415603657,2.2660951740555566,0.0066717222486308,8.35389523,2.2514,1041.6,0.787
133,0.9966666666666667,1,exoplaneta,True,0.1822776415603657,2.2660951740555566,0.0066717222486308,0.1822776415603657,2.2660951740555566,0.0066717222486308,0.1822776415603657,2.2660951740555566,0.0066717222486308,8.35389523,2.2514,1041.6,0.787
134,0.9966666666666667,1,exoplaneta,True,0.1822776415603657,2.2660951740555566,0.0066717222486308,0.1822776415603657,2.2660951740555566,0.0066717222486308,0.1822776415603657,2.2660951740555566,0.0066717222486308,8.35389523,2.2514,1041.6,0.787
135,0.9766666666666667,1,exoplaneta,True,0.1385397968542611,2.119106916493956,0.0203689502674493,0.1385397968542611,2.119106916493956,0.0203689502674493,0.1385397968542611,2.119106916493956,0.0203689502674493,4.125543472,3.1744,1487.3,1.103
136,0.9766666666666667,1,exoplaneta,True,0.1385397968542611,2.119106916493956,0.0203689502674493,0.1385397968542611,2.119106916493956,0.0203689502674493,0.1385397968542611,2.119106916493956,0.0203689502674493,4.125543472,3.1744,1487.3,1.103
137,0.9766666666666667,1,exoplaneta,True,0.1385397968542611,2.119106916493956,0.0203689502674493,0.1385397968542611,2.119106916493956,0.0203689502674493,0.1385397968542611,2.119106916493956,0.0203689502674493,4.125543472,3.1744,1487.3,1.103
138,0.99,1,exoplaneta,True,,3.577081174295272,0.0017233691829062,,3.577081174295272,0.0017233691829062,,3.577081174295272,0.0017233691829062,2.816504904,2.50587,16814.0,0.955
139,0.99,1,exoplaneta,True,,3.577081174295272,0.0017233691829062,,3.577081174295272,0.0017233691829062,,3.577081174295272,0.0017233691829062,2.816504904,2.50587,16814.0,0.955
140,0.99,1,exoplaneta,True,,3.577081174295272,0.0017233691829062,,3.577081174295272,0.0017233691829062,,3.577081174295272,0.0017233691829062,2.816504904,2.50587,16814.0,0.955
141,0.016666666666666666,0,no exoplaneta,False,0.2961396448831714,3.09525354107192,-0.0003655584502574,0.2961396448831714,3.09525354107192,-0.0003655584502574,0.2961396448831714,3.09525354107192,-0.0003655584502574,33.93373447,14.561,8503.7,0.705
142,0.016666666666666666,0,no exoplaneta,False,0.2961396448831714,3.09525354107192,-0.0003655584502574,0.2961396448831714,3.09525354107192,-0.0003655584502574,0.2961396448831714,3.09525354107192,-0.0003655584502574,33.93373447,14.561,8503.7,0.705
143,0.016666666666666666,0,no exoplaneta,False,0.2961396448831714,3.09525354107192,-0.0003655584502574,0.2961396448831714,3.09525354107192,-0.0003655584502574,0.2961396448831714,3.09525354107192,-0.0003655584502574,33.93373447,14.561,8503.7,0.705
144,0.9866666666666667,1,exoplaneta,True,0.2994184575100381,3.090622168351966,0.0034253877628056,0.2994184575100381,3.090622168351966,0.0034253877628056,0.2994184575100381,3.090622168351966,0.0034253877628056,3.689920099,2.6557,426.7,0.917
145,0.9866666666666667,1,exoplaneta,True,0.2994184575100381,3.090622168351966,0.0034253877628056,0.2994184575100381,3.090622168351966,0.0034253877628056,0.2994184575100381,3.090622168351966,0.0034253877628056,3.689920099,2.6557,426.7,0.917
146,0.9866666666666667,1,exoplaneta,True,0.2994184575100381,3.090622168351966,0.0034253877628056,0.2994184575100381,3.090622168351966,0.0034253877628056,0.2994184575100381,3.090622168351966,0.0034253877628056,3.689920099,2.6557,426.7,0.917
147,1.0,1,exoplaneta,True,0.2502871179093742,2.362695033535817,0.0134873050155843,0.2502871179093742,2.362695033535817,0.0134873050155843,0.2502871179093742,2.362695033535817,0.0134873050155843,4.431238488,3.15,1010.9,1.015
148,1.0,1,exoplaneta,True,0.2502871179093742,2.362695033535817,0.0134873050155843,0.2502871179093742,2.362695033535817,0.0134873050155843,0.2502871179093742,2.362695033535817,0.0134873050155843,4.431238488,3.15,1010.9,1.015
