kepid,asymmetry_index,v_u_kurtosis,ingress_slope,egress_slope,loc_rowid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
6756669,0.1624833572657421,4.054004416742378,0.0001428916798577,0.0049975590583358,180,K00862.01,,FALSE POSITIVE,0,1,0,5.851520671,3.31e-07,-3.31e-07,173.8228336,4.48e-05,-4.48e-05,2455006.823,4.48e-05,-4.48e-05,0.211,0.02,-0.041,3.11058,0.00627,-0.00627,,,,33004.0,26.1,-26.1,1630.4,5532.0,167.0,-167.0,0.806,0.161,-0.087
6784235,0.2186011680636321,3.203973784277772,-0.011642247042576,0.0083024874329945,181,K00863.01,Kepler-708 b,CONFIRMED,0,0,0,3.167893418,3.869e-06,-3.869e-06,172.147959,0.000988,-0.000988,2455005.148,0.000988,-0.000988,0.026,0.366,-0.026,2.1814,0.0324,-0.0324,,,,781.2,14.3,-14.3,64.8,5895.0,164.0,-184.0,0.94,0.282,-0.094
6784235,0.2186011680636321,3.203973784277772,-0.011642247042576,0.0083024874329945,181,K00863.01,Kepler-708 b,CONFIRMED,0,0,0,3.167893418,3.869e-06,-3.869e-06,172.147959,0.000988,-0.000988,2455005.148,0.000988,-0.000988,0.026,0.366,-0.026,2.1814,0.0324,-0.0324,,,,781.2,14.3,-14.3,64.8,5895.0,164.0,-184.0,0.94,0.282,-0.094
6784235,0.2186011680636321,3.203973784277772,-0.011642247042576,0.0083024874329945,181,K00863.01,Kepler-708 b,CONFIRMED,0,0,0,3.167893418,3.869e-06,-3.869e-06,172.147959,0.000988,-0.000988,2455005.148,0.000988,-0.000988,0.026,0.366,-0.026,2.1814,0.0324,-0.0324,,,,781.2,14.3,-14.3,64.8,5895.0,164.0,-184.0,0.94,0.282,-0.094
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
6849310,0.1656404532545238,2.533160653022297,-0.014854519248245,0.0181040938255911,182,K00864.01,Kepler-244 b,CONFIRMED,0,0,0,4.311780262,4.342e-06,-4.342e-06,173.576483,0.000848,-0.000848,2455006.576,0.000848,-0.000848,0.196,0.221,-0.196,2.7251,0.0314,-0.0314,,,,1154.0,15.0,-15.0,86.1,5527.0,74.0,-83.0,0.927,0.115,-0.062
