loc_rowid,kepid,kepoi_name,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
9085,8105398,K05475.02,0.97,1.900e-01,-2.900e-01,1257.0,,,13.430000,6.600000,-6.600000,6072.00,167.00,-137.00,1.2860,0.2550,-0.3830,0.8180,0.1060,-0.0490
9086,10535708,K05801.02,1.00,1.600e-01,-2.200e-01,2073.0,,,2.250000,1.000000,-1.000000,5534.00,83.00,-71.00,1.3260,0.2070,-0.2850,0.9480,0.0720,-0.0440
9087,11453930,K05900.02,1.53,9.300e-01,-3.000e-01,2837.0,,,26.030000,4.700000,-4.700000,6823.00,165.00,-242.00,1.4930,0.9190,-0.2880,1.3320,0.2810,-0.2460
9088,4737267,K06117.01,151.00,2.872e+01,-2.584e+01,1390.0,,,9.576100,0.014100,-0.014100,5180.00,62.00,-72.00,3.3710,0.6410,-0.5770,1.1120,0.1890,-0.1890
9089,5955321,K06140.01,77.01,2.467e+01,-8.810e+00,895.0,,,11.998400,0.031300,-0.031300,6360.00,176.00,-242.00,1.0580,0.3390,-0.1210,1.1050,0.1540,-0.1540
9090,6182093,K06143.02,,,,,,,,,,,,,,,,,,
9091,4758350,K06447.02,2.27,1.270e+00,-5.400e-01,568.0,,,67.400000,24.300000,-24.300000,6705.00,164.00,-233.00,1.6080,0.9050,-0.3830,1.3250,0.2760,-0.2560
9092,4862625,K06464.03,3.39,9.700e-01,-3.400e-01,248.0,,,407.000000,115.000000,-115.000000,6373.00,151.00,-189.00,1.0470,0.2980,-0.1060,1.0940,0.1430,-0.1430
9093,10621666,K01636.02,1.17,5.100e-01,-9.000e-02,702.0,,,41.300000,18.700000,-18.700000,5904.00,166.00,-158.00,0.8190,0.3580,-0.0620,0.8990,0.1050,-0.0940
9094,5211470,K06541.02,417.01,9.656e+01,-1.793e+02,5718.0,,,1.537000,0.764000,-0.764000,4697.00,117.00,-117.00,17.0320,3.9440,-7.3240,1.6910,0.1640,-0.6560
9095,6665064,K06751.02,28.97,4.330e+00,-1.450e+00,1990.0,,,1.600000,0.800000,-0.800000,5761.00,78.00,-78.00,0.9560,0.1430,-0.0480,1.0350,0.0500,-0.0680
9096,3123418,K07542.01,2.55,1.100e+00,-1.900e-01,209.0,,,282.700000,18.800000,-18.800000,5853.00,158.00,-166.00,0.8680,0.3720,-0.0670,0.9610,0.1080,-0.1100
9097,3458687,K07543.01,12.44,6.900e-01,-6.570e+00,4203.0,,,1.020000,0.245000,-0.245000,6431.00,172.00,-211.00,5.2940,0.2940,-2.7950,1.9320,0.0690,-0.5900
9098,3749508,K07544.01,27.04,5.110e+00,-1.534e+01,3903.0,,,4.037357,,,6244.00,148.00,-204.00,10.1050,1.9100,-5.7310,2.9360,0.2840,-1.2050
9099,3955867,K07545.01,78.44,2.168e+01,-1.000e+01,1211.0,,,6.769000,0.327000,-0.327000,4774.00,71.00,-62.00,6.4470,1.7810,-0.8220,0.8710,0.1510,-0.0160
9100,3965201,K07546.01,4.90,8.800e-01,-1.620e+00,1158.0,,,86.260000,3.300000,-3.300000,7854.00,227.00,-311.00,3.4620,0.6240,-1.1410,2.0390,0.2860,-0.3920
9101,4074294,K07547.01,2.94,3.900e-01,-1.170e+00,3285.0,,,2.166000,0.827000,-0.827000,6228.00,171.00,-152.00,2.9750,0.3940,-1.1820,1.5040,0.2290,-0.3440
9102,4380560,K07548.01,15.33,4.830e+00,-1.600e+00,2109.0,,,1.150000,0.313000,-0.313000,6106.00,190.00,-232.00,0.9660,0.3040,-0.1010,1.0430,0.1400,-0.1540
9103,4384652,K07549.01,73.10,2.293e+01,-4.110e+00,220.0,,,912.000000,338.000000,-338.000000,5714.00,179.00,-140.00,0.7110,0.2230,-0.0400,0.7800,0.0850,-0.0650
9104,7697568,K01829.02,1.29,4.700e-01,-1.100e-01,724.0,,,38.200000,18.800000,-18.800000,5383.00,184.00,-150.00,0.8220,0.2980,-0.0680,0.8610,0.0960,-0.0800
9105,4483235,K07550.01,1.53,5.300e-01,-2.700e-01,2860.0,,,2.580000,0.474000,-0.474000,8784.00,246.00,-422.00,1.9670,0.6920,-0.3460,2.0170,0.3720,-0.4130
9106,4662363,K07551.01,,,,,,,,,,,,,,,,,,
9107,4680745,K07552.01,15.82,6.510e+00,-5.320e+00,2371.0,,,1.074400,0.093100,-0.093100,6525.00,161.00,-192.00,1.8050,0.7430,-0.6070,1.1670,0.2880,-0.1820
9108,4851195,K07553.01,139.55,7.249e+01,-1.728e+01,295.0,,,788.000000,379.000000,-379.000000,6446.00,165.00,-277.00,1.1550,0.6000,-0.1430,1.1700,0.2490,-0.1760
9109,4862924,K07554.01,1.98,1.020e+00,-2.100e-01,263.0,,,287.000000,42.500000,-42.500000,6315.00,167.00,-217.00,1.0950,0.5580,-0.1170,1.0660,0.2450,-0.1070
9110,5024414,K07555.01,8.86,5.100e-01,-2.860e+00,3786.0,,,5.909400,0.076800,-0.076800,5000.00,60.00,-130.00,10.5330,0.6020,-3.4090,2.6150,0.0750,-1.4340
9111,5177065,K07556.01,0.47,2.700e-01,-8.000e-02,2109.0,,,1.380000,0.568000,-0.568000,6472.00,150.00,-195.00,1.2990,0.7420,-0.2290,1.1460,0.2790,-0.1530
9112,5268955,K07557.01,20.12,4.420e+00,-4.870e+00,915.0,,,7.710000,3.800000,-3.800000,5845.00,146.00,-161.00,1.3520,0.2970,-0.3270,1.0030,0.1470,-0.1470
9113,5271090,K07558.01,0.94,4.200e-01,-1.100e-01,721.0,,,42.400000,21.200000,-21.200000,5275.00,185.00,-144.00,0.7960,0.3580,-0.0880,0.7390,0.1550,-0.0520
9114,5444276,K07559.01,1.13,6.000e-01,-1.300e-01,2417.0,,,1.347000,0.558000,-0.558000,6528.00,155.00,-217.00,1.1550,0.6130,-0.1310,1.1770,0.2520,-0.1680
9115,5598645,K07560.01,2.60,4.800e-01,-6.400e-01,3758.0,,,1.894000,0.394000,-0.394000,4973.00,59.00,-69.00,4.7080,0.8710,-1.1610,1.3060,0.1570,-0.2910
9116,5696518,K07561.01,,,,,,,,,,,,,,,,,,
9117,5878506,K07562.01,,,,,,,,,,,,,,,,,,
9118,5908086,K07563.01,6.09,1.190e+00,-3.330e+00,5094.0,,,1.293000,0.550000,-0.550000,6691.00,160.00,-200.00,7.7810,1.5190,-4.2540,2.7030,0.2960,-0.8880
9119,6307243,K07564.01,1.85,8.600e-01,-3.900e-01,464.0,,,239.500000,59.400000,-59.400000,9024.00,276.00,-398.00,2.0050,0.9300,-0.4250,2.0920,0.5030,-0.4060
9120,6350522,K07565.01,1.43,1.300e-01,-1.400e-01,159.0,,,273.000000,112.000000,-112.000000,4541.00,176.00,-160.00,0.6690,0.0600,-0.0640,0.6610,0.0730,-0.0580
9121,6385302,K07566.01,,,,,,,,,,,,,,,,,,
9122,6443274,K07567.01,1.46,1.300e-01,-1.300e-01,143.0,,,348.000000,105.000000,-105.000000,4486.00,132.00,-127.00,0.6460,0.0590,-0.0570,0.6680,0.0580,-0.0650
9123,6508734,K07568.01,1.14,1.600e-01,-1.300e-01,109.0,,,223.500000,83.900000,-83.900000,3622.00,59.00,-50.00,0.4300,0.0600,-0.0500,0.4510,0.0600,-0.0500
9124,6527050,K07569.01,,,,,,,,,,,,,,,,,,
9125,5602588,K02369.03,1.28,3.900e-01,-1.400e-01,967.0,,,11.270000,1.400000,-1.400000,6075.00,168.00,-210.00,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390
9126,6590362,K07570.01,0.86,2.600e-01,-9.000e-02,2103.0,,,5.640000,2.000000,-2.000000,5926.00,160.00,-178.00,0.8870,0.2760,-0.0860,0.9780,0.1190,-0.1190
9127,6628740,K07571.01,1.21,3.200e-01,-4.000e-01,3042.0,,,1.275000,0.556000,-0.556000,6266.00,175.00,-219.00,1.6130,0.4360,-0.5330,1.1080,0.1750,-0.1570
9128,6876575,K07572.01,1.59,3.400e-01,-5.700e-01,1103.0,,,32.500000,13.200000,-13.200000,9051.00,298.00,-379.00,4.2320,0.9090,-1.5210,2.7380,0.3620,-0.4880
9129,7031126,K07573.01,1.08,7.200e-01,-7.100e-01,2791.0,,,1.371000,0.676000,-0.676000,5102.00,153.00,-138.00,1.9610,1.2970,-1.2970,0.8600,0.2650,-0.1430
9130,7031208,K07574.01,1.50,4.900e-01,-1.600e-01,2411.0,,,1.006000,0.223000,-0.223000,6319.00,197.00,-241.00,1.0320,0.3350,-0.1120,1.0840,0.1540,-0.1540
9131,7031742,K07575.01,0.84,2.600e-01,-9.000e-02,2280.0,,,1.446000,0.437000,-0.437000,6063.00,190.00,-253.00,1.0120,0.3180,-0.1060,1.1170,0.1300,-0.1590
9132,7032568,K07576.01,0.79,2.100e-01,-3.000e-01,3114.0,,,1.529000,0.517000,-0.517000,6432.00,175.00,-214.00,1.6030,0.4130,-0.6200,0.9770,0.1340,-0.1220
9133,7032687,K07577.01,0.88,2.800e-01,-9.000e-02,2222.0,,,1.214000,0.364000,-0.364000,6215.00,197.00,-241.00,0.8720,0.2770,-0.0860,0.9680,0.1140,-0.1260
9134,7115384,K07578.01,21.63,1.280e+01,-3.370e+00,7584.0,,,1.011000,0.006150,-0.006150,3789.00,125.00,-99.00,27.3840,16.2120,-4.2580,0.9690,0.3630,-0.0150
9135,7116282,K07579.01,0.68,1.600e-01,-1.100e-01,2051.0,,,1.683200,0.097500,-0.097500,5490.00,166.00,-166.00,0.8870,0.2070,-0.1430,0.7830,0.1250,-0.0580
9136,7116859,K07580.01,0.75,2.100e-01,-1.100e-01,2178.0,,,2.570000,1.300000,-1.300000,5766.00,172.00,-189.00,0.9400,0.2590,-0.1390,0.8740,0.1200,-0.0800
9137,7133286,K07581.01,18.68,1.330e+00,-1.820e+00,352.0,,,8.974600,0.019500,-0.019500,4374.00,153.00,-168.00,0.6350,0.0450,-0.0620,0.6210,0.0680,-0.0560
9138,7186259,K07582.01,,,,,,,,,,,,,,,,,,
9139,7214090,K07583.01,1.10,3.300e-01,-1.100e-01,2081.0,,,3.125000,0.777000,-0.777000,5730.00,173.00,-190.00,0.9080,0.2730,-0.0910,0.9600,0.1140,-0.1140
