loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
7516,8580438,K06058.01,,FALSE POSITIVE,0,1,0,6.496031958,5.43e-07,-5.43e-07,135.4687416,6.79e-05,-6.79e-05,2454968.469,6.79e-05,-6.79e-05,0.065,0.077,-0.002,5.21924,0.00326,-0.00326,,,,108890.0,74.1,-74.1,1797.6,5516.0,166.0,-149.0,0.988,0.281,-0.187
7517,8581232,K06059.01,,FALSE POSITIVE,0,1,1,4.012537983,1.58e-06,-1.58e-06,134.652406,0.000331,-0.000331,2454967.652,0.000331,-0.000331,0.783,0.034,-0.003,2.0101,0.0302,-0.0302,,,,19796.0,180.0,-180.0,166.0,4483.0,120.0,-133.0,0.63,0.045,-0.062
7518,8655458,K06060.01,,FALSE POSITIVE,0,1,1,1.594162001,6.3e-07,-6.3e-07,132.634679,0.000322,-0.000322,2454965.635,0.000322,-0.000322,1.128,0.157,-0.084,5.4958,0.0183,-0.0183,,,,9876.3,28.8,-28.8,415.0,5388.0,159.0,-159.0,0.885,0.179,-0.119
7519,8695779,K06061.01,,FALSE POSITIVE,0,1,0,10.238939876,2.667e-06,-2.667e-06,132.722552,0.000215,-0.000215,2454965.723,0.000215,-0.000215,1.022,0.12,-0.035,3.4851,0.015,-0.015,,,,3153.1,9.8,-9.8,427.6,6244.0,203.0,-248.0,1.807,0.456,-0.74
7520,8953059,K06062.01,,FALSE POSITIVE,0,1,0,5.499941387,1.583e-06,-1.583e-06,136.869403,0.000236,-0.000236,2454969.869,0.000236,-0.000236,0.002,0.145,-0.002,5.1339,0.0132,-0.0132,,,,40110.0,92.8,-92.8,506.4,6435.0,153.0,-211.0,1.157,0.37,-0.148
7521,9048145,K06063.01,,FALSE POSITIVE,0,1,0,8.667826242,2.84e-07,-2.84e-07,137.3415297,2.68e-05,-2.68e-05,2454970.342,2.68e-05,-2.68e-05,0.822,0.003,-0.001,5.06514,0.00075,-0.00075,,,,43491.0,12.8,-12.8,4638.1,6712.0,161.0,-242.0,1.538,0.477,-0.358
7522,9214712,K06064.01,,FALSE POSITIVE,0,1,0,265.2996227,8.843e-05,-8.843e-05,316.91977,0.000227,-0.000227,2455149.92,0.000227,-0.000227,0.798,0.029,-0.022,8.8452,0.0187,-0.0187,,,,100160.0,276.0,-276.0,616.3,5873.0,139.0,-174.0,0.863,0.225,-0.075
7523,9214715,K06065.01,,FALSE POSITIVE,0,1,0,265.2999623,0.0004794,-0.0004794,316.91821,0.00107,-0.00107,2455149.918,0.00107,-0.00107,0.928,5.184,-0.056,8.8577,0.0565,-0.0565,,,,31778.0,263.0,-263.0,154.7,6108.0,165.0,-220.0,0.997,0.312,-0.104
7524,7190639,K06157.01,,FALSE POSITIVE,1,0,0,98.1020983,0.0009848,-0.0009848,170.33189,0.00896,-0.00896,2455003.332,0.00896,-0.00896,0.1865,0.4593,-0.1178,1.225,0.233,-0.233,,,,184.4,39.6,-39.6,6.9,6669.0,152.0,-235.0,1.427,0.809,-0.287
7525,7198881,K06158.01,,FALSE POSITIVE,1,0,0,182.467019,0.003923,-0.003923,215.019,0.0231,-0.0231,2455048.019,0.0231,-0.0231,0.0158,0.4376,-0.0156,7.607,0.912,-0.912,,,,1020.0,163.0,-163.0,12.5,6299.0,143.0,-230.0,1.167,0.801,-0.13
7526,7198881,K06158.02,,FALSE POSITIVE,1,0,0,126.57837267,,,198.1194352,,,2455031.119,,,,,,2.5,,,,,,,,,,,,,,,
7527,7422883,K06159.01,,FALSE POSITIVE,0,1,0,11.41437505,6.008e-05,-6.008e-05,142.59649,0.00439,-0.00439,2454975.596,0.00439,-0.00439,0.895,7.145,-0.075,6.276,0.206,-0.206,,,,45966.0,1567.0,-1567.0,34.2,6826.0,152.0,-220.0,1.52,0.447,-0.298
7530,7464205,K06160.01,,FALSE POSITIVE,1,0,0,151.31847,0.01059,-0.01059,148.9275,0.081,-0.081,2454981.928,0.081,-0.081,0.3788,0.0973,-0.3786,16.45,2.4,-2.4,,,,105.4,26.7,-26.7,6.0,6003.0,152.0,-166.0,1.085,0.388,-0.161
7531,7622059,K06161.01,,FALSE POSITIVE,0,1,0,10.4032399,2.64e-05,-2.64e-05,138.18443,0.00214,-0.00214,2454971.184,0.00214,-0.00214,1.296,0.168,-0.188,23.85,0.122,-0.122,,,,1056.2,4.8,-4.8,272.8,6428.0,155.0,-194.0,1.436,0.311,-0.342
7532,12367464,K06250.01,,FALSE POSITIVE,0,1,0,1.853209359,4.49e-07,-4.49e-07,132.249661,0.000201,-0.000201,2454965.25,0.000201,-0.000201,0.99,2.122,-0.035,1.7543,0.00965,-0.00965,,,,12319.0,51.3,-51.3,238.9,6384.0,181.0,-227.0,1.716,0.439,-0.658
7533,12470041,K06251.01,,FALSE POSITIVE,0,1,0,14.66769462,1.275e-05,-1.275e-05,139.161736,0.000712,-0.000712,2454972.162,0.000712,-0.000712,1.169,6.63,-0.235,2.4462,0.0379,-0.0379,,,,29862.0,406.0,-406.0,86.5,7517.0,235.0,-314.0,3.226,0.387,-1.548
7537,8179286,K07869.01,,FALSE POSITIVE,0,1,1,11.4132144,0.0001338,-0.0001338,140.11988,0.00826,-0.00826,2454973.12,0.00826,-0.00826,0.439,0.01,-0.438,2.371,0.266,-0.266,,,,76.4,8.8,-8.8,10.4,6188.0,166.0,-203.0,1.155,0.363,-0.195
7539,2581191,K02203.02,,FALSE POSITIVE,1,0,0,172.178768,0.002068,-0.002068,139.442,0.0112,-0.0112,2454972.442,0.0112,-0.0112,0.2431,0.3551,-0.2428,1.19,0.309,-0.309,,,,501.0,117.0,-117.0,4.7,6208.0,156.0,-202.0,1.009,0.445,-0.094
